Skill,Question 1,Question 2,Question 3,Question 4,Question 5
"JavaScript Fundamentals – scope, closures, hoisting, this binding, async/await, promises, event loop",Explain scope with an example,What is a closure and real use case?,How does hoisting work for let/var/functions?,Explain this binding in different contexts,Explain event loop with async/await
"JavaScript Advanced – currying, debounce/throttle, memoization, prototype chain, custom bind/call/apply, immutability",What is currying and why useful,Explain Implement debounce or throttle,Explain memoization use case,How does prototype chain work?,How would you implement custom bind?
"DOM & Browser – event bubbling/capturing, event delegation, reflow vs repaint, browser rendering, web storage, intersection observer",What is Difference between bubbling and capturing?,Explain event delegation with example,What causes reflow and repaint,Explain browser rendering pipeline,When would you use IntersectionObserver?
"Frameworks – React Core, components, props, state, hooks, conditional rendering, lists & keys, controlled components",Difference between props and state?,How does React re-render work?,Why keys are important in lists?,Explain Controlled vs uncontrolled components,How hooks replaced class components?
"React Hooks – useState, useEffect, dependency array, cleanup, useMemo, useCallback, custom hooks",Explain useEffect lifecycle,What Common dependency array mistakes,Explain useMemo vs useCallback in detail,How cleanup function works?,How to create custom hooks?
"State Management – lifting state, context API, Redux basics, async state, server vs client state, normalization, Zustand",What is lifting state up?,Explain Context API vs Redux in detail,How async state is handled?,Explain Client state vs server state,Why state normalization is important?
"JavaScript Libraries – TanStack Query, axios, data handling",Why use TanStack Query?,How caching works in React Query?,Diff between Axios vs fetch,How to Handling loading & error states?,How to do Managing stale data
"Performance Tuning – routing, virtualization, component splitting",What is route-based code splitting?,Explain list virtualization,How component splitting helps?,Explain Causes of unnecessary re-renders,How do you profile performance?
GIT – understanding of git commands and project management,Explain Merge vs rebase,How do you resolve conflicts?,Explain Pull request workflow,Explain Revert vs reset,Explain Release management strategy
"CSS Core – box model, display, positioning, flexbox, grid, media queries, responsive design, mobile-first, specificity",Explain CSS box model,Explain Flexbox vs Grid use cases,How specificity is calculated?,List Positioning types,While developing what should be taken Mobile-first or desktop-first? Explain both in detail
"Routing – client-side routing, dynamic routes, nested routes, guards, query params, URL sync",How client-side routing works?,Dynamic routes example,What are nested routes?,How to protect routes?,How to implement URL and state synchronization?
"API & Data Fetching – REST, HTTP status codes, error handling, pagination, caching, retries",Explain REST principles,List down Common HTTP status codes,How to implement globel API error handling?,What are Pagination strategies?,Explain Caching and retries
"Performance – memoization, code splitting, lazy loading, bundle optimization, web vitals",What is memoization?,How code splitting works?,Explain Lazy loading vs eager,How to Reduce bundle size?,"Explain LCP, CLS, FID"
"Security – JWT basics, token storage risks, XSS, CSRF, CORS, secure cookies",How JWT works?,Where to store tokens?,How to Prevent XSS?,What is CSRF?,How CORS works?
"Testing – unit tests, integration tests, Jest, RTL, mocking, E2E",What is diff between Unit vs integration tests?,What to test in frontend?,how testing async code?,What is mocking?,When to use E2E tests?
"Build Tools – npm, package.json, Vite, webpack, env variables, build/runtime",What happens in npm install?,Explian Important package.json fields?,Explain Vite vs Webpack?,what is the Role of Babel build tool?,what is Build-time vs runtime config
"Architecture – component design, separation of concerns, reusability, scalability, patterns",how to Design reusable components?,What are Separation of concerns?,How to develop Scaling frontend apps,what are Common anti-patterns?,Explain Folder structure for scalable frontend application. 
"Accessibility (A11y) – keyboard navigation, screen readers, ARIA, focus, color contrast",Why accessibility matters?,How to imlementKeyboard navigation handling?,Explain ARIA roles,what is Focus management?,what are Color contrast standards?
"Frontend System Design – SPA vs SSR, hydration, micro-frontends, CDN, caching, error handling",what are SPA vs SSR tradeoffs,What is hydration,When micro-frontends,"what is Role of CDN, why we use it?",Frontend caching strategy
